"GLOUCESTER MAISEMORE LOCK",,,,,,,,,,,,
Grid ref,SO818216,Long,-2.265878,Lat,51.892651,,,,,,,
Station no,2170,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.50,0.89,0.81,3.39,2.96,0.95,4.29,1.29,0.80,0.88,,
February,4.14,1.11,1.24,1.11,3.51,0.78,1.58,0.92,0.74,0.43,,
March,0.96,1.43,1.47,3.44,1.36,3.29,1.08,0.65,2.37,2.66,,
April,0.87,1.94,1.70,1.86,1.18,2.51,0.77,2.67,2.01,1.90,,
May,1.72,1.06,1.90,4.05,1.84,0.24,2.23,2.52,1.49,0.75,,
June,1.24,2.88,2.86,2.80,0.78,4.65,3.26,2.27,0.68,3.35,,
July,2.26,3.20,0.87,2.86,2.35,1.18,0.77,4.29,2.52,2.11,,
August,1.76,1.73,3.49,3.53,2.12,4.89,1.05,2.10,2.64,2.13,,
September,0.35,1.66,2.26,2.80,1.50,1.23,0.48,0.53,1.58,2.67,,
October,1.95,1.09,3.12,6.55,0.54,1.50,4.48,5.68,2.12,3.54,,
November,1.49,1.09,1.60,1.48,1.41,2.97,2.84,1.71,0.88,0.77,,
December,3.64,3.82,1.77,1.52,1.72,0.68,1.68,3.88,2.20,3.81,,
Total,22.88,21.90,23.09,35.39,21.27,24.87,24.51,28.51,20.03,25.00,,
Calc annual,22.88,21.90,23.09,35.39,21.27,24.87,24.51,28.51,20.03,25.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
