"DROGHEDA MULLACROGHAN",,,,,,,,,,,,
Grid ref,IO0490072500,Long,-6.412554,Lat,53.691870,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.78,1.20,,
February,,,,,,,,,1.32,0.71,,
March,,,,,,,,,2.61,2.92,,
April,,,,,,,,,2.01,4.34,,
May,,,,,,,,3.33,1.89,1.45,,
June,,,,,,,,4.28,1.47,1.81,,
July,,,,,,,,2.22,3.22,3.17,,
August,,,,,,,,2.36,2.46,1.23,,
September,,,,,,,,0.88,3.72,2.45,,
October,,,,,,,,4.60,1.99,4.40,,
November,,,,,,,,2.04,2.04,1.22,,
December,,,,,,,,2.75,2.53,4.49,,
Total,,,,,,,,,27.04,29.39,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.46,27.04,29.39,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
