"BALLYMOTE NEW PARK",,,,,,,,,,,,
Grid ref,IG6986518490,Long,-8.461614,Lat,54.114740,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.15,3.85,3.40,5.10,4.60,3.65,5.75,2.50,4.10,,,
February,3.55,2.60,2.20,4.95,4.75,3.10,4.10,3.20,3.80,,,
March,3.10,4.80,2.85,5.90,2.55,5.10,3.05,4.90,4.55,,,
April,3.35,3.50,2.75,2.35,3.45,1.75,2.90,3.00,2.85,,,
May,4.00,2.30,2.85,2.35,2.40,1.55,3.40,3.85,3.50,,,
June,4.90,2.65,2.10,0.85,2.40,2.00,2.30,5.60,3.00,,,
July,1.25,1.65,2.30,5.70,5.38,1.42,1.95,2.10,2.15,,,
August,4.70,4.52,2.80,6.20,5.68,5.20,4.55,3.85,3.25,,,
September,2.75,5.35,2.30,5.25,3.20,3.10,1.75,1.60,6.60,,,
October,5.55,4.55,3.00,5.70,2.50,3.05,4.95,4.90,1.05,,,
November,4.60,4.00,4.30,3.15,4.60,4.00,3.50,2.80,3.00,,,
December,5.95,5.40,5.00,4.40,3.45,3.10,4.70,4.30,4.55,,,
Total,48.85,45.17,35.85,51.90,44.96,37.02,42.90,42.60,42.40,,,
Calc annual,48.85,45.17,35.85,51.90,44.96,37.02,42.90,42.60,42.40,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,NaN,,
