"CARDIFF W.W. CANTREFF RESERVOIR NO. 2",,,,,,,,,,,,
Grid ref,SN997154,Long,-3.456855,Lat,51.828182,,,,,,,
Station no,4155,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.05,6.02,4.60,12.04,10.94,3.25,11.17,5.12,8.03,4.26,,
February,8.06,2.38,3.02,8.23,9.15,3.33,5.68,4.25,4.96,1.37,,
March,1.20,6.00,4.39,12.35,3.29,10.89,5.81,4.19,6.46,6.63,,
April,3.45,7.27,3.55,3.31,6.23,7.59,1.62,6.65,4.22,5.72,,
May,4.36,1.56,3.63,5.59,4.21,0.87,6.01,4.46,6.53,2.89,,
June,5.74,3.31,3.78,2.26,2.74,5.30,2.89,8.74,2.10,4.78,,
July,2.35,1.28,2.74,4.62,4.06,2.21,2.29,5.35,8.19,6.19,,
August,7.05,5.51,4.92,9.75,5.60,7.53,5.97,9.18,10.24,2.90,,
September,4.26,4.18,2.89,6.73,3.76,2.88,2.20,1.89,4.38,4.82,,
October,10.25,4.14,6.23,17.65,5.11,4.09,9.07,10.24,4.47,15.47,,
November,6.63,3.17,6.41,4.92,5.05,6.51,9.02,4.75,4.91,3.66,,
December,13.50,11.88,7.76,6.29,6.96,3.05,5.46,10.94,7.53,15.47,,
Total,74.90,56.70,53.92,93.74,67.10,57.50,67.19,75.76,72.02,74.16,,
Calc annual,74.90,56.70,53.92,93.74,67.10,57.50,67.19,75.76,72.02,74.16,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
