"LOCH NAVER ALTNAHARRA",,,,,,,,,,,,
Grid ref,NC569358,Long,-4.442485,Lat,58.287448,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.19,,,6.44,3.21,6.06,7.49,5.25,4.26,5.76,,
February,2.85,,,5.74,3.06,6.22,6.72,4.40,7.24,2.41,,
March,2.76,,,4.87,1.48,4.59,4.16,3.59,4.05,2.10,,
April,2.48,,,4.09,6.67,3.54,2.33,2.33,2.96,2.72,,
May,1.91,,,2.60,1.74,1.32,4.20,2.44,2.23,1.85,,
June,2.38,,,1.43,2.15,2.44,0.93,3.53,2.37,1.52,,
July,4.98,,,6.51,1.47,1.74,3.27,1.64,1.30,2.98,,
August,2.62,,,7.64,2.17,3.22,3.24,3.04,1.71,3.08,,
September,4.30,,,2.61,2.97,3.05,2.17,0.93,5.94,2.17,,
October,5.34,,,5.48,2.94,4.35,3.27,1.62,1.56,5.81,,
November,5.60,,,6.85,4.49,5.45,8.66,2.73,5.42,6.19,,
December,7.19,,,2.44,5.79,3.48,5.88,3.16,3.71,3.44,,
Total,48.60,,,56.70,38.14,45.46,52.32,34.66,42.75,40.03,,
Calc annual,48.60,0.00,0.00,56.70,38.14,45.46,52.32,34.66,42.75,40.03,,
Difference,0.00,NaN,NaN,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,,
