"KINGSTOWN HARBOUR OFFICE",,,,,,,,,,,,
Grid ref,IO2446828847,Long,-6.133750,Lat,53.295528,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.76,,,,,
February,,,,,,,1.09,,,,,
March,,,,,,,1.62,,,,,
April,,,,,,,1.31,,,,,
May,,,,,,,2.36,,,,,
June,,,,,,,0.95,,,,,
July,,,,,,,1.02,,,,,
August,,,,,,,1.69,,,,,
September,,,,,,,0.40,,,,,
October,,,,,,,3.40,,,,,
November,,,,,,,1.61,,,,,
December,,,,,,,1.83,,,,,
Total,,,,,,,21.04,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,21.04,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,,
