"SIDCUP STATION ROAD",,,,,,,,,,,,
Grid ref,TQ462722,Long,0.101672,Lat,51.429950,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.72,0.83,4.21,1.30,,,,
February,,,,,3.29,0.61,1.95,1.46,,,,
March,,,,,1.45,3.16,1.03,1.14,,,,
April,,,,,0.90,1.96,0.52,3.01,,,,
May,,,,,2.06,1.26,1.43,0.68,,,,
June,,,,,0.66,4.84,2.05,3.58,,,,
July,,,,,1.78,0.73,,1.05,,,,
August,,,,,1.49,2.32,,3.08,,,,
September,,,,,1.12,2.29,,0.62,,,,
October,,,,,1.76,0.97,3.86,3.00,,,,
November,,,,,1.45,3.16,4.10,2.24,,,,
December,,,,,2.41,0.49,1.69,2.67,,,,
Total,,,,,21.09,22.62,,23.83,,,,
Calc annual,0.00,0.00,0.00,0.00,21.09,22.62,20.84,23.83,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,NaN,0.00,NaN,NaN,,
