"DRINKSTONE",,,,,,,,,,,,
Grid ref,TL958602,Long,0.864041,Lat,52.205233,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.55,0.68,0.70,1.71,2.02,1.23,4.06,1.36,0.92,0.69,,
February,1.76,0.52,0.74,0.35,2.54,1.18,2.34,1.29,1.85,0.36,,
March,0.89,1.95,1.18,1.80,1.62,1.90,1.93,1.02,2.03,2.75,,
April,0.97,1.80,1.07,2.51,0.74,1.54,0.93,3.06,2.39,1.58,,
May,1.13,1.30,2.78,1.74,2.23,1.40,1.28,2.81,1.24,1.62,,
June,2.93,1.80,3.73,3.17,0.83,2.86,2.98,2.15,0.64,4.46,,
July,1.38,0.80,1.58,4.86,2.58,0.48,0.50,2.08,4.19,2.95,,
August,3.50,0.73,4.84,4.09,1.82,2.32,1.29,1.93,1.97,2.78,,
September,0.53,1.04,1.63,2.73,1.35,1.61,1.78,0.72,1.29,2.47,,
October,2.01,1.35,1.36,4.60,1.24,2.12,3.75,2.74,1.37,3.94,,
November,2.10,1.24,1.21,2.15,1.47,1.86,3.90,2.36,1.18,0.50,,
December,2.57,3.29,1.68,1.10,2.07,0.91,2.56,2.99,1.38,4.36,,
Total,22.32,16.50,22.50,30.81,20.51,19.41,27.30,24.51,20.45,28.46,,
Calc annual,22.32,16.50,22.50,30.81,20.51,19.41,27.30,24.51,20.45,28.46,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
