"NORTH WALSHAM PASTON SCHOOL NO 2",,,,,,,,,,,,
Grid ref,TG280299,Long,1.382196,Lat,52.818388,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.72,0.63,1.04,1.54,1.25,0.93,3.64,1.43,0.81,0.63,,
February,2.41,1.48,0.87,0.41,2.60,1.14,2.21,1.58,1.55,0.62,,
March,1.14,2.05,1.28,1.53,1.63,1.61,1.43,1.52,2.31,2.72,,
April,0.82,1.57,1.05,1.86,0.77,2.14,0.59,2.69,2.40,1.08,,
May,1.22,1.09,3.01,1.72,1.69,1.21,3.42,2.59,1.30,0.85,,
June,2.87,1.72,2.15,1.69,0.73,4.23,2.03,2.13,0.82,2.36,,
July,1.41,1.19,2.36,3.99,1.79,1.07,0.42,0.86,2.58,3.29,,
August,3.92,1.02,2.80,2.72,2.66,2.03,1.80,1.34,2.44,2.50,,
September,0.47,0.69,1.13,2.71,1.80,2.15,0.89,0.60,2.53,1.39,,
October,2.01,1.97,1.70,4.58,1.02,4.39,2.63,3.65,1.08,3.72,,
November,1.89,2.40,1.12,1.61,1.84,2.46,4.39,2.46,1.53,1.37,,
December,3.09,3.39,1.53,1.06,2.09,1.00,3.55,2.19,1.19,4.85,,
Total,23.97,19.20,20.04,25.42,19.87,24.36,27.00,23.04,20.54,25.38,,
Calc annual,23.97,19.20,20.04,25.42,19.87,24.36,27.00,23.04,20.54,25.38,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,,
