"KIRRIEMUIR LEDNATHIE",,,,,,,,,,,,
Grid ref,NO339630,Long,-3.082588,Lat,56.753910,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.48,3.16,2.06,7.45,3.25,0.90,4.61,1.73,2.62,2.35,,
February,4.14,2.17,2.13,5.99,4.89,1.78,1.72,2.39,1.01,0.46,,
March,1.60,2.39,1.66,7.34,2.86,6.90,1.61,1.84,5.47,4.75,,
April,3.08,4.17,3.07,2.49,3.80,3.69,1.63,4.19,0.85,4.94,,
May,4.09,2.65,2.40,1.79,2.88,2.20,5.61,5.62,2.14,3.39,,
June,4.96,2.12,2.47,3.09,1.40,1.61,0.76,6.26,2.41,1.07,,
July,3.59,1.74,3.07,6.49,1.96,1.60,1.62,2.38,2.99,2.63,,
August,3.67,5.76,3.49,7.04,5.66,5.15,5.10,4.16,2.66,1.29,,
September,3.63,3.43,3.08,3.34,3.81,2.17,1.52,1.43,5.74,1.66,,
October,4.39,3.51,2.24,8.89,1.63,3.22,6.12,4.28,7.36,6.61,,
November,5.47,1.19,8.90,1.06,0.77,9.17,5.11,3.09,2.95,0.74,,
December,6.59,3.90,8.34,6.18,3.33,2.53,2.39,5.66,4.40,3.63,,
Total,49.69,36.19,42.91,61.15,36.24,40.92,37.80,43.03,40.60,33.52,,
Calc annual,49.69,36.19,42.91,61.15,36.24,40.92,37.80,43.03,40.60,33.52,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
