"SMAILHOLM SANDYKNOWE",,,,,,,,,,,,
Grid ref,NT651366,Long,-2.555731,Lat,55.621722,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,1.53,0.94,2.75,1.23,,
February,,,,,,0.49,0.83,0.61,1.30,0.88,,
March,,,,,,1.77,1.17,1.19,3.58,2.53,,
April,,,,,,2.14,0.75,1.70,0.82,5.07,,
May,,,,,,0.48,4.52,2.30,1.80,1.09,,
June,,,,,,0.68,1.85,3.05,1.19,1.40,,
July,,,,,,1.50,2.04,1.27,1.30,2.16,,
August,,,,,,3.42,6.67,2.76,1.92,1.14,,
September,,,,,,1.19,0.60,0.53,2.60,1.40,,
October,,,,,,2.25,4.17,4.19,2.21,2.50,,
November,,,,,,2.15,1.98,1.93,1.30,0.40,,
December,,,,,,0.58,1.22,1.55,0.59,2.06,,
Total,,,,,,,27.33,22.02,21.36,21.86,,
Calc annual,0.00,0.00,0.00,0.00,0.00,16.65,27.33,22.02,21.36,21.86,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,,
