"BEN LOMOND HEAD OF DUCHRAY VALLEY",,,,,,,,,,,,
Grid ref,NN396014,Long,-4.585582,Lat,56.178155,,,,,,,
Station no,5364,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,12.30,6.80,9.90,13.30,6.40,6.60,15.00,7.50,11.40,8.40,,
February,5.00,2.60,3.10,15.50,2.00,7.20,1.20,9.40,4.40,2.80,,
March,0.90,5.35,7.40,17.20,6.20,10.20,9.20,8.20,5.50,2.30,,
April,5.20,5.95,6.10,2.70,13.60,7.20,5.80,7.70,2.50,5.30,,
May,11.80,4.50,6.60,4.10,9.40,7.90,13.10,10.00,4.50,7.10,,
June,11.50,7.70,3.50,8.30,7.60,4.10,2.40,12.60,5.20,3.20,,
July,9.50,4.10,6.50,10.00,8.80,7.80,9.00,5.50,9.80,6.30,,
August,10.90,6.00,7.20,20.50,12.20,11.80,13.10,17.40,7.10,6.10,,
September,13.10,9.80,7.50,8.50,16.50,7.10,6.70,5.50,15.70,3.60,,
October,11.60,14.10,10.00,22.10,8.40,8.40,16.80,8.50,4.40,15.30,,
November,10.40,6.20,11.00,6.50,4.80,16.20,12.80,9.50,7.10,5.20,,
December,22.30,10.80,10.70,9.10,10.30,17.00,6.60,13.00,7.50,10.40,,
Total,124.50,83.90,89.50,137.80,106.20,111.50,111.70,114.80,85.10,76.00,,
Calc annual,124.50,83.90,89.50,137.80,106.20,111.50,111.70,114.80,85.10,76.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
