"HOY CANTICKHEAD",,,,,,,,,,,,
Grid ref,ND346893,Long,-3.133058,Lat,58.786286,,,,,,,
Station no,5819,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.32,5.58,4.81,3.31,1.40,2.45,2.42,1.81,3.24,3.19,,
February,1.84,3.44,0.58,4.22,2.34,4.03,3.90,1.44,4.55,2.92,,
March,1.05,1.82,3.28,2.07,1.35,2.33,0.74,2.08,3.62,1.29,,
April,2.08,2.52,1.56,2.27,3.58,1.49,1.50,1.00,1.68,2.05,,
May,1.74,0.77,1.83,0.85,0.73,1.03,1.70,0.76,2.68,2.05,,
June,0.85,2.74,1.26,0.70,0.86,0.80,0.72,3.45,2.64,1.37,,
July,2.36,1.59,2.16,3.70,0.18,2.47,1.60,1.31,1.42,2.32,,
August,2.53,3.13,2.23,4.17,2.16,2.98,1.65,5.48,2.12,2.27,,
September,2.95,1.51,2.61,1.78,1.64,2.23,1.53,1.33,3.10,2.14,,
October,4.91,3.62,2.58,3.92,3.58,4.77,3.16,2.66,1.55,4.68,,
November,4.63,3.22,2.14,3.99,1.28,2.96,4.52,2.13,4.81,6.86,,
December,5.66,5.92,4.05,1.53,2.33,1.49,2.31,3.11,3.26,3.21,,
Total,35.92,35.86,29.09,32.51,21.43,29.03,25.75,26.56,34.67,34.35,,
Calc annual,35.92,35.86,29.09,32.51,21.43,29.03,25.75,26.56,34.67,34.35,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
