"JEDBURGH ANCRUM BRIDGE",,,,,,,,,,,,
Grid ref,NT638238,Long,-2.574690,Lat,55.506621,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.76,1.98,1.19,4.41,2.26,1.06,2.34,,,2.38,,
February,4.94,1.58,1.50,3.07,2.35,1.35,1.28,,,2.01,,
March,1.34,1.90,0.74,3.16,2.01,3.19,1.99,,,3.98,,
April,2.16,1.73,1.57,1.17,2.03,2.86,1.03,,,2.77,,
May,1.42,2.10,2.76,1.24,2.99,0.95,5.00,,,1.36,,
June,4.99,1.52,2.19,1.29,2.08,1.42,2.03,,,2.18,,
July,2.65,3.35,2.04,4.49,1.65,1.59,1.80,,,2.62,,
August,5.52,3.05,1.68,2.91,2.82,3.30,5.48,,6.45,2.08,,
September,1.40,0.95,1.02,3.06,0.60,2.40,0.56,,3.11,2.19,,
October,3.98,2.24,2.00,7.72,0.86,2.47,5.90,,2.87,4.30,,
November,4.40,3.88,1.03,1.66,2.03,3.21,2.76,,1.41,0.75,,
December,4.13,3.97,3.00,1.29,1.55,0.87,3.05,,0.80,3.10,,
Total,39.69,28.25,20.72,35.47,23.23,24.67,33.22,,,29.72,,
Calc annual,39.69,28.25,20.72,35.47,23.23,24.67,33.22,0.00,14.64,29.72,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,0.00,,
