"LOWESTOFT BELLEVUE PARK",,,,,,,,,,,,
Grid ref,TM550945,Long,1.754656,Lat,52.488761,,,,,,,
Station no,1377,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.37,,,,,,,,
February,,,,0.26,,,,,,,,
March,,,,1.77,,,,,,,,
April,,,,2.05,,,,,,,,
May,,,,1.62,,,,,,,,
June,,,,2.00,,,,,,,,
July,,,,2.38,,,,,,,,
August,,,,4.23,,,,,,,,
September,,,,2.65,,,,,,,,
October,,,,3.61,,,,,,,,
November,,,,1.69,,,,,,,,
December,,,,1.18,,,,,,,,
Total,,,,24.81,,,,,,,,
Calc annual,0.00,0.00,0.00,24.81,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
