"CANTERBURY IRRIGATION WORKS",,,,,,,,,,,,
Grid ref,TR166596,Long,1.105356,Lat,51.294312,,,,,,,
Station no,298,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.10,0.57,0.74,2.20,3.18,0.86,1.64,1.06,1.58,0.70,,
February,4.51,1.08,1.11,1.49,2.40,0.75,2.13,1.19,1.17,1.13,,
March,1.12,1.96,1.40,1.86,1.32,2.96,1.41,0.77,2.26,2.95,,
April,0.92,1.47,0.46,1.81,0.84,2.34,0.85,2.15,1.83,1.70,,
May,0.86,0.65,1.76,2.79,1.99,1.20,1.56,2.26,2.63,0.79,,
June,2.14,0.69,2.23,4.67,0.73,5.00,2.85,2.26,1.00,3.41,,
July,1.07,1.48,1.23,5.76,0.97,1.02,1.14,1.34,2.20,2.31,,
August,1.80,1.56,3.79,2.08,1.75,1.77,0.29,1.75,3.26,2.52,,
September,1.18,0.79,1.42,2.27,1.74,1.64,1.80,0.29,1.38,3.24,,
October,1.75,1.93,1.76,4.10,1.72,2.54,2.56,4.42,1.59,6.38,,
November,2.23,0.85,1.59,2.98,1.23,2.66,4.53,2.67,1.31,0.70,,
December,2.36,3.52,1.87,1.64,2.39,0.40,1.87,2.90,2.34,4.36,,
Total,23.04,16.55,19.36,33.65,20.26,23.14,22.63,23.06,22.55,30.19,,
Calc annual,23.04,16.55,19.36,33.65,20.26,23.14,22.63,23.06,22.55,30.19,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
