"PEXHILL RESERVOIR",,,,,,,,,,,,
Grid ref,SJ501889,Long,-2.751859,Lat,53.394561,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.35,3.10,1.86,2.00,1.75,1.51,3.40,2.03,2.13,1.67,,
February,2.25,1.95,1.30,1.70,2.98,1.20,2.20,1.48,2.95,1.00,,
March,0.92,1.85,1.60,2.30,1.53,3.05,2.15,2.00,3.85,2.15,,
April,1.28,1.80,2.00,1.83,1.20,2.20,1.23,1.20,2.15,2.30,,
May,2.26,0.85,2.82,2.23,2.19,0.65,2.34,2.61,1.75,,,
June,2.30,1.81,1.72,1.70,1.67,1.35,2.00,4.00,2.15,2.25,,
July,1.95,0.86,1.80,2.40,1.54,2.52,1.37,2.16,2.80,2.38,,
August,4.45,3.15,2.30,3.50,3.43,3.03,2.19,3.59,2.85,3.15,,
September,0.86,1.10,0.99,2.80,1.40,1.50,2.05,0.75,3.00,3.12,,
October,,,,,,,,,,,,
November,3.26,2.39,1.28,3.10,2.20,3.55,2.07,2.40,2.82,1.98,,
December,3.55,2.30,2.03,1.35,2.05,0.37,,2.07,1.40,3.10,,
Total,,,,,,,,,,,,
Calc annual,25.43,21.16,19.70,24.91,21.94,20.93,21.00,24.29,27.85,23.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
