"BLACKBURN SAMLESBURY SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SD617294,Long,-2.582413,Lat,53.759539,,,,,,,
Station no,2956,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.33,1.53,4.28,1.42,3.18,2.11,,
February,,,,,2.72,1.83,2.81,1.93,2.55,1.52,,
March,,,,,2.72,2.84,3.13,3.44,3.21,2.45,,
April,,,,,2.31,2.35,1.81,1.71,2.93,3.99,,
May,,,,,2.62,0.61,4.41,4.38,2.77,2.38,,
June,,,,,1.41,3.10,1.86,7.32,1.89,2.93,,
July,,,,,1.98,3.42,2.13,3.56,3.95,5.58,,
August,,,,,5.20,3.75,4.11,4.39,3.73,3.06,,
September,,,,,2.01,3.03,1.20,0.91,4.38,2.40,,
October,,,,,2.34,3.62,6.46,3.49,1.98,5.25,,
November,,,,,2.91,4.99,3.61,2.49,3.89,1.52,,
December,,,,,2.67,0.63,3.84,4.76,2.48,5.13,,
Total,,,,,32.22,31.70,39.65,39.80,36.94,38.32,,
Calc annual,0.00,0.00,0.00,0.00,32.22,31.70,39.65,39.80,36.94,38.32,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,,
