"SPILSBY EAST KEAL RECTORY",,,,,,,,,,,,
Grid ref,TF375635,Long,0.054647,Lat,53.150896,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.88,1.22,0.84,,
February,,,,,,,,0.96,1.28,0.51,,
March,,,,,,,,1.59,1.68,3.14,,
April,,,,,,,,1.95,2.63,1.88,,
May,,,,,,,,2.89,2.18,0.95,,
June,,,,,,,,2.18,1.73,5.18,,
July,,,,,,,,1.64,3.01,4.29,,
August,,,,,,,,1.60,2.85,3.51,,
September,,,,,,,,0.54,1.62,1.09,,
October,,,,,,,,5.46,0.91,2.81,,
November,,,,,,,,1.93,1.01,0.71,,
December,,,,,,,,2.79,1.59,4.07,,
Total,,,,,,,,24.41,21.71,28.98,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.41,21.71,28.98,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
