"HOWTH, BALKILL RESERVOIR",,,,,,,,,,,,
Grid ref,IO2820038200,Long,-6.074027,Lat,53.378639,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.33,1.12,,
February,,,,,,,,,1.26,0.50,,
March,,,,,,,,,2.97,3.68,,
April,,,,,,,,,2.41,3.93,,
May,,,,,,,,,1.55,0.29,,
June,,,,,,,,,1.66,2.42,,
July,,,,,,,,,3.50,2.68,,
August,,,,,,,,,2.95,0.85,,
September,,,,,,,,,3.44,1.40,,
October,,,,,,,,,2.59,3.61,,
November,,,,,,,,,1.27,1.22,,
December,,,,,,,,,3.05,4.43,,
Total,,,,,,,,,27.98,26.13,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.98,26.13,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
