"BROUGHTON BOYS SCHOOL",,,,,,,,,,,,
Grid ref,SU309328,Long,-1.560139,Lat,51.093682,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.10,0.87,1.59,0.98,,
February,,,,,,,3.19,1.84,1.27,0.39,,
March,,,,,,,1.42,0.72,3.34,3.88,,
April,,,,,,,0.90,3.55,2.68,1.43,,
May,,,,,,,1.99,2.38,2.20,1.66,,
June,,,,,,,2.64,1.35,0.75,3.90,,
July,,,,,,,0.54,1.57,1.76,2.54,,
August,,,,,,,1.01,2.15,3.34,3.05,,
September,,,,,,,0.91,0.42,1.97,3.15,,
October,,,,,,,6.08,7.34,1.61,7.18,,
November,,,,,,,3.65,2.67,1.05,,,
December,,,,,,,2.34,4.23,2.73,,,
Total,,,,,,,30.77,29.09,24.29,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,30.77,29.09,24.29,28.16,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,,
