"DALZELL HOUSE",,,,,,,,,,,,
Grid ref,NS759550,Long,-3.979851,Lat,55.772360,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.14,2.40,1.57,,,,3.55,1.92,3.16,4.81,,
February,1.51,0.83,0.47,,,,1.62,1.76,2.60,1.96,,
March,0.11,2.01,2.47,,,,1.46,2.90,7.00,2.53,,
April,1.35,3.01,0.52,,,,0.93,1.01,3.00,2.24,,
May,1.67,1.16,1.54,,,,4.26,4.95,2.90,1.62,,
June,4.40,2.54,1.80,,,,0.67,6.67,1.81,2.53,,
July,2.60,1.74,2.53,,,,1.84,4.45,2.64,3.11,,
August,3.70,3.36,2.04,,,,3.16,4.22,2.47,1.74,,
September,3.72,2.09,3.34,,,,1.58,0.61,5.09,1.91,,
October,5.62,4.81,2.25,,,,5.59,5.84,1.00,5.29,,
November,6.22,2.99,1.40,,,,2.58,0.89,2.85,1.76,,
December,6.40,2.31,3.59,,,,1.90,1.79,2.11,4.11,,
Total,40.44,29.25,23.52,,,,29.14,37.01,36.63,33.61,,
Calc annual,40.44,29.25,23.52,0.00,0.00,0.00,29.14,37.01,36.63,33.61,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
