"SLIGO ARDMORE",,,,,,,,,,,,
Grid ref,IG6904235806,Long,-8.475978,Lat,54.270261,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,4.65,3.74,,,,,,
February,,,,,4.82,2.76,,,,,,
March,,,,,2.97,4.54,,,,,,
April,,,,,2.83,2.26,,,,,,
May,,,,,2.61,1.29,,,,,,
June,,,,,2.25,2.25,,,,,,
July,,,,,4.20,2.23,,,,,,
August,,,,,5.05,4.50,,,,,,
September,,,,,3.71,2.08,,,,,,
October,,,,,2.01,2.60,,,,,,
November,,,,,4.70,3.96,,,,,,
December,,,,,3.37,3.03,,,,,,
Total,,,,,43.17,35.24,,,,,,
Calc annual,0.00,0.00,0.00,0.00,43.17,35.24,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,,
