"PORTLAND BILL LIGHTHOUSE",,,,,,,,,,,,
Grid ref,SY681689,Long,-2.451322,Lat,50.519010,,,,,,,
Station no,1550,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.22,1.30,0.98,2.34,3.97,1.02,4.91,1.36,0.70,0.73,,
February,4.30,1.03,1.41,1.72,4.00,0.53,3.29,0.94,1.26,0.27,,
March,1.03,3.00,2.05,2.63,1.23,4.70,1.29,0.31,2.23,3.49,,
April,0.94,2.63,2.05,2.90,0.96,1.41,1.02,2.95,1.66,1.38,,
May,1.21,1.07,2.22,1.99,2.25,0.32,2.36,1.71,1.36,1.55,,
June,2.67,0.78,2.29,1.80,0.85,2.05,1.66,1.22,0.36,3.32,,
July,0.63,1.51,1.24,2.17,2.89,0.60,0.75,1.11,1.01,1.60,,
August,1.46,2.00,3.37,3.37,4.01,2.11,0.30,0.76,1.37,2.07,,
September,0.78,3.45,2.92,2.73,1.39,2.31,0.43,0.71,1.97,2.14,,
October,1.70,3.17,2.23,6.67,2.60,1.98,3.30,9.79,4.38,5.00,,
November,3.01,0.37,3.15,0.96,1.12,4.07,2.81,2.49,0.95,0.85,,
December,4.76,3.40,1.53,2.27,2.77,0.52,1.27,3.24,2.76,4.58,,
Total,26.71,23.71,25.44,31.55,28.04,21.62,23.39,26.59,20.01,26.98,,
Calc annual,26.71,23.71,25.44,31.55,28.04,21.62,23.39,26.59,20.01,26.98,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
