"BRADFORD PEVERELL HOUSE",,,,,,,,,,,,
Grid ref,SY649921,Long,-2.498660,Lat,50.727452,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.48,1.35,,
February,,,,,,,,,1.74,0.59,,
March,,,,,,,,,3.38,5.06,,
April,,,,,,,,,2.38,2.07,,
May,,,,,,,,,1.94,1.34,,
June,,,,,,,,,0.27,4.20,,
July,,,,,,,,,2.16,3.93,,
August,,,,,,,,,4.41,3.46,,
September,,,,,,,,,3.03,2.88,,
October,,,,,,,,,4.63,9.98,,
November,,,,,,,,,1.36,1.15,,
December,,,,,,,,,5.34,6.74,,
Total,,,,,,,,,32.12,42.75,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.12,42.75,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
