"MIDDLESBROUGH ORMESBY",,,,,,,,,,,,
Grid ref,NZ532175,Long,-1.179050,Lat,54.549963,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.03,1.76,0.77,2.29,1.62,0.36,2.52,0.71,1.13,0.57,,
February,4.58,2.24,1.19,1.15,2.21,0.70,1.43,1.16,1.67,1.29,,
March,1.53,1.74,0.78,2.06,1.25,1.25,1.34,0.84,2.31,3.85,,
April,1.11,1.24,1.62,1.70,1.40,2.11,0.66,1.58,2.82,1.98,,
May,1.09,2.17,2.41,2.85,3.17,0.78,3.03,3.71,2.11,1.77,,
June,3.41,1.70,1.88,3.41,1.31,0.93,1.05,3.58,0.68,2.88,,
July,1.68,5.28,2.90,3.34,2.59,0.80,1.29,1.63,2.38,2.93,,
August,5.18,1.88,2.21,1.71,2.55,3.33,2.64,2.51,1.70,5.33,,
September,0.63,0.67,0.95,3.64,1.41,2.94,0.49,0.49,1.83,2.10,,
October,6.16,1.68,3.11,6.71,0.59,2.67,4.68,4.44,1.17,2.59,,
November,2.50,4.29,0.39,1.82,2.66,4.95,2.65,2.32,1.25,2.14,,
December,1.93,3.75,1.64,0.98,2.30,0.30,2.08,3.38,0.84,3.61,,
Total,31.83,28.40,19.85,31.66,23.06,21.12,23.86,26.35,19.89,31.04,,
Calc annual,31.83,28.40,19.85,31.66,23.06,21.12,23.86,26.35,19.89,31.04,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
