"DUNGEON GHYLL NEW HOTEL NO. 2",,,,,,,,,,,,
Grid ref,NY295065,Long,-3.088753,Lat,54.448984,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,12.34,9.55,9.96,17.47,13.63,9.56,19.30,6.60,16.05,10.96,,
February,10.30,4.96,4.20,19.67,10.66,9.49,9.25,10.35,8.54,11.89,,
March,0.85,7.50,7.55,17.10,9.61,8.96,6.44,13.02,9.28,7.50,,
April,7.59,7.42,6.86,4.57,13.44,12.92,3.50,5.20,4.09,6.50,,
May,4.62,2.54,4.80,6.47,5.13,5.75,10.80,9.85,5.89,5.02,,
June,6.86,5.35,1.54,3.13,3.46,6.45,3.87,11.69,5.27,3.70,,
July,3.06,1.86,5.49,8.60,5.47,5.77,6.79,4.40,7.97,13.65,,
August,9.50,11.68,6.76,18.65,9.21,7.97,10.23,9.77,12.03,4.95,,
September,7.03,7.06,4.56,11.39,6.42,6.15,4.22,1.20,16.39,5.96,,
October,14.67,10.35,8.32,24.13,6.78,7.14,15.50,11.70,4.06,18.45,,
November,9.25,16.90,9.12,8.76,10.12,12.26,12.60,8.36,8.29,7.94,,
December,21.64,13.94,15.50,11.44,10.16,11.25,9.55,13.40,9.27,19.23,,
Total,107.71,99.11,84.66,151.38,104.09,103.67,112.05,105.54,107.13,115.75,,
Calc annual,107.71,99.11,84.66,151.38,104.09,103.67,112.05,105.54,107.13,115.75,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
