"NEW GALLOWAY GLENLEE",,,,,,,,,,,,
Grid ref,NX6103280126,Long,-4.179301,Lat,55.096030,,,,,,,
Station no,RR109,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.58,4.45,,,,,,,,,,
February,5.28,1.60,,,,,,,,,,
March,0.40,2.48,,,,,,,,,,
April,3.53,5.64,,,,,,,,,,
May,4.98,1.73,,,,,,,,,,
June,5.03,3.66,,,,,,,,,,
July,3.82,0.84,,,,,,,,,,
August,7.02,5.18,,,,,,,,,,
September,3.75,5.68,,,,,,,,,,
October,7.89,7.49,,,,,,,,,,
November,5.96,,,,,,,,,,,
December,11.09,,,,,,,,,,,
Total,66.33,,,,,,,,,,,
Calc annual,66.33,38.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
