"KETTERING, CRANSLEY LODGE",,,,,,,,,,,,
Grid ref,SP812764,Long,-0.808519,Lat,52.379627,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.88,2.17,2.35,,,,,,,
February,,,1.93,0.99,3.31,,,,,,,
March,,,1.45,3.00,1.60,,,,,,,
April,,,1.32,2.15,1.20,,,,,,,
May,,,2.11,2.65,2.27,,,,,,,
June,,,2.34,2.80,1.20,,,,,,,
July,,,1.06,2.60,,,,,,,,
August,,,3.04,3.68,,,,,,,,
September,,,1.70,3.55,,,,,,,,
October,,,1.95,6.13,,,,,,,,
November,,0.77,1.84,1.17,,,,,,,,
December,,3.59,1.12,1.27,,,,,,,,
Total,,,20.74,32.16,,,,,,,,
Calc annual,0.00,4.36,20.74,32.16,11.93,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
