"HASTINGS NEWGATE RESERVOIR",,,,,,,,,,,,
Grid ref,TQ807102,Long,0.566368,Lat,50.863070,,,,,,,
Station no,543,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.90,3.90,1.07,4.28,1.05,1.23,1.17,,
February,,,,1.80,2.85,0.61,2.18,1.09,1.11,0.31,,
March,,,,1.83,1.32,4.27,1.24,0.74,2.30,3.73,,
April,,,,1.92,1.07,1.61,1.25,2.56,1.94,2.33,,
May,,,,1.67,2.05,1.10,2.65,1.84,0.97,1.14,,
June,,,,2.92,1.40,3.20,1.39,2.59,1.64,2.46,,
July,,,,4.84,0.76,0.82,0.19,2.80,2.81,2.14,,
August,,,,2.67,1.26,2.85,0.71,1.13,3.81,3.43,,
September,,,,2.72,1.09,3.53,1.09,0.64,2.53,3.51,,
October,,,,4.37,2.05,2.11,3.94,4.89,1.67,5.30,,
November,,,,2.36,1.66,5.17,6.54,2.51,1.06,0.73,,
December,,,,2.02,2.91,1.03,2.16,2.84,2.74,6.02,,
Total,,,,32.02,22.32,27.37,27.62,24.68,23.81,32.27,,
Calc annual,0.00,0.00,0.00,32.02,22.32,27.37,27.62,24.68,23.81,32.27,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
