"DERBY ROYAL INFIRMARY",,,,,,,,,,,,
Grid ref,SK357352,Long,-1.470566,Lat,52.913046,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.11,1.69,1.04,2.07,2.17,1.04,3.52,1.21,1.16,1.21,,
February,3.77,1.37,1.66,1.26,3.01,0.83,2.99,2.08,1.35,0.61,,
March,0.60,2.25,1.61,3.51,1.69,2.93,1.83,1.46,2.41,3.09,,
April,1.23,1.80,2.36,1.89,1.96,1.64,0.64,1.66,2.35,1.47,,
May,1.65,1.03,2.86,3.08,1.98,0.46,1.52,3.73,2.27,1.82,,
June,4.12,1.97,2.64,1.29,0.59,2.28,2.08,3.34,1.54,2.17,,
July,4.15,3.49,1.54,2.26,2.08,0.93,0.62,2.75,2.51,3.07,,
August,5.05,2.00,3.19,4.88,2.77,3.24,1.03,3.24,4.02,2.38,,
September,1.04,0.98,1.70,2.80,1.85,1.37,0.94,0.72,1.54,2.34,,
October,3.00,1.81,2.75,5.59,0.67,1.53,5.32,3.65,1.07,3.26,,
November,2.52,1.95,1.79,2.14,1.42,2.62,2.95,1.87,1.67,0.43,,
December,4.59,5.89,1.73,1.25,1.66,0.69,3.10,2.76,1.60,4.10,,
Total,35.83,26.23,24.87,32.02,21.85,19.56,26.54,28.47,23.49,25.95,,
Calc annual,35.83,26.23,24.87,32.02,21.85,19.56,26.54,28.47,23.49,25.95,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,,
