"BRADFORD LISTER PARK",,,,,,,,,,,,
Grid ref,SE151351,Long,-1.772160,Lat,53.811971,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.10,2.23,,
February,,,,,,,,,2.70,0.77,,
March,,,,,,,,,3.65,4.14,,
April,,,,,,,,,2.21,3.12,,
May,,,,,,,,,2.02,2.42,,
June,,,,,,,,,1.28,3.06,,
July,,,,,,,,,3.35,3.30,,
August,,,,,,,,,2.48,2.93,,
September,,,,,,,,,3.05,3.24,,
October,,,,,,,,,1.94,2.77,,
November,,,,,,,,,2.11,0.90,,
December,,,,,,,,,2.31,5.99,,
Total,,,,,,,,,29.20,34.87,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.20,34.87,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
