"CRAIL, KIRKMAY",,,,,,,,,,,,
Grid ref,NO613079,Long,-2.626323,Lat,56.262010,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.03,1.86,0.90,4.65,2.07,0.43,2.44,0.70,2.08,1.79,,
February,4.59,1.31,1.36,4.42,5.64,0.72,0.65,1.31,0.66,1.07,,
March,1.58,1.55,1.20,2.28,1.38,2.88,1.14,1.75,3.14,3.12,,
April,1.53,1.79,1.47,0.62,1.74,1.48,1.23,1.67,1.29,3.28,,
May,1.82,2.15,1.85,1.01,2.69,1.64,5.05,3.24,1.79,2.07,,
June,1.06,1.69,2.62,1.93,1.69,0.66,1.30,4.38,1.13,1.48,,
July,4.55,0.96,2.80,5.65,1.99,1.74,1.49,2.43,2.50,3.76,,
August,3.77,4.76,2.20,3.61,4.53,3.26,5.12,3.36,1.24,3.01,,
September,1.73,1.36,1.28,2.70,2.05,2.45,0.91,0.92,5.81,1.49,,
October,5.13,1.72,1.49,5.88,0.58,1.54,7.13,6.81,2.21,3.53,,
November,4.73,2.18,2.38,1.38,0.97,5.32,3.38,1.67,1.39,0.49,,
December,3.66,2.85,2.68,2.12,1.79,1.29,1.58,2.68,0.98,3.29,,
Total,38.18,24.18,22.23,36.25,27.12,23.41,31.42,30.92,24.22,28.38,,
Calc annual,38.18,24.18,22.23,36.25,27.12,23.41,31.42,30.92,24.22,28.38,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
