"VICTORIA LODGE EDINBURGH WW NO 8A",,,,,,,,,,,,
Grid ref,NT098235,Long,-3.429334,Lat,55.496931,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.66,4.19,4.72,,
February,,,,,,,,2.77,2.81,2.37,,
March,,,,,,,2.72,3.83,6.08,4.62,,
April,,,,,,,1.65,2.67,1.70,3.20,,
May,,,,,,,5.42,4.37,3.01,2.80,,
June,,,,,,,2.05,3.79,2.68,2.69,,
July,,,,,,,2.62,3.35,2.06,5.38,,
August,,,,,,,6.53,5.26,4.38,2.65,,
September,,,,,,,1.01,0.93,4.82,2.74,,
October,,,,,,,6.20,8.85,1.52,8.54,,
November,,,,,,,4.60,3.27,3.25,1.94,,
December,,,,,,,2.82,4.58,2.03,4.78,,
Total,,,,,,,,45.33,38.53,46.43,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,35.62,45.33,38.53,46.43,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
