"UPTON MOOR TOP",,,,,,,,,,,,
Grid ref,SE461137,Long,-1.304572,Lat,53.617823,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.17,,,
February,,,,,,,,,1.56,,,
March,,,,,,,,,3.22,,,
April,,,,,,,,,2.48,,,
May,,,,,,,,,2.93,,,
June,,,,,,,,,1.31,,,
July,,,,,,,,,3.99,,,
August,,,,,,,,,2.10,,,
September,,,,,,,,,1.87,,,
October,,,,,,,,,1.24,,,
November,,,,,,,,,1.25,,,
December,,,,,,,,,1.44,,,
Total,,,,,,,,,24.56,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.56,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,NaN,,
