"DUNDRUM, MANOR MILL LODGE",,,,,,,,,,,,
Grid ref,IO1720427779,Long,-6.243054,Lat,53.287592,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.17,1.37,,
February,,,,,,,,,1.34,0.53,,
March,,,,,,,,,3.39,3.28,,
April,,,,,,,,,2.91,3.85,,
May,,,,,,,,,1.59,0.83,,
June,,,,,,,,,1.59,2.69,,
July,,,,,,,,,2.36,2.58,,
August,,,,,,,,,3.56,0.95,,
September,,,,,,,,,2.72,1.79,,
October,,,,,,,,,1.66,2.89,,
November,,,,,,,,,1.40,1.48,,
December,,,,,,,,,2.45,4.56,,
Total,,,,,,,,,27.14,26.80,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.14,26.80,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
