"RATHMULLAN",,,,,,,,,,,,
Grid ref,IC2960027500,Long,-7.537092,Lat,55.094112,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.61,3.59,2.70,5.43,4.72,4.44,,,,,,
February,2.85,2.16,1.46,4.64,2.67,2.90,,,,,,
March,1.30,3.66,2.95,5.83,2.02,5.11,,,,,,
April,2.90,4.16,2.90,2.20,4.20,3.44,,,,,,
May,2.63,1.99,2.17,2.07,2.16,1.34,,,,,,
June,4.36,2.77,1.25,0.96,0.90,2.22,,,,,,
July,2.93,1.97,3.23,4.80,3.60,2.25,,,,,,
August,3.58,4.16,2.45,7.14,6.14,4.20,,,,,,
September,2.63,2.64,4.22,3.45,1.80,1.13,,,,,,
October,5.66,2.80,3.41,7.09,2.77,3.10,,,,,,
November,4.72,3.75,4.42,4.45,5.55,5.11,,,,,,
December,5.05,4.95,4.30,2.74,3.76,3.16,,,,,,
Total,43.22,38.60,35.46,50.80,40.29,38.40,,,,,,
Calc annual,43.22,38.60,35.46,50.80,40.29,38.40,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,-0.00,0.00,-0.00,NaN,NaN,NaN,NaN,,
