"MUCOMIR",,,,,,,,,,,,
Grid ref,NN184939,Long,-4.991532,Lat,57.000441,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,5.26,7.02,13.20,6.44,6.20,,,,,,
February,,1.65,1.00,10.59,4.46,5.62,,,,,,
March,,2.97,5.04,10.30,2.92,7.00,,,,,,
April,5.16,4.46,2.52,2.67,7.30,2.46,,,,,,
May,3.76,1.50,3.41,3.43,4.90,3.73,,,,,,
June,2.44,4.45,1.29,2.77,3.51,2.70,,,,,,
July,4.87,2.71,3.45,5.63,3.72,4.68,,,,,,
August,6.15,4.26,4.68,9.32,5.42,5.83,,,,,,
September,5.90,3.70,4.40,5.08,6.96,5.58,,,,,,
October,6.84,7.33,5.69,10.43,4.40,3.94,,,,,,
November,4.84,3.79,2.70,6.28,4.20,4.34,,,,,,
December,13.50,8.12,6.55,4.97,7.19,6.76,,,,,,
Total,,50.20,47.75,84.67,61.42,58.84,,,,,,
Calc annual,53.46,50.20,47.75,84.67,61.42,58.84,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
