"GRAMPOUND ROAD CREED RECTORY",,,,,,,,,,,,
Grid ref,SW936472,Long,-4.898855,Lat,50.288574,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.48,2.88,,
February,,,,,,,,,2.39,0.57,,
March,,,,,,,,,5.26,5.16,,
April,,,,,,,,,2.08,2.31,,
May,,,,,,,,,1.89,1.15,,
June,,,,,,,,,1.25,2.77,,
July,,,,,,,,,2.37,2.49,,
August,,,,,,,,,4.97,1.75,,
September,,,,,,,,,4.68,1.20,,
October,,,,,,,,,2.87,5.96,,
November,,,,,,,,,1.70,1.56,,
December,,,,,,,,,4.71,6.26,,
Total,,,,,,,,,35.65,34.06,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.65,34.06,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
