"DRUMCONRATH  CORSTOWN HOUSE",,,,,,,,,,,,
Grid ref,IN8847989954,Long,-6.656084,Lat,53.851696,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.92,3.08,1.94,3.74,2.68,1.10,3.10,0.84,2.06,1.48,,
February,1.55,0.88,2.24,2.56,2.74,0.58,1.24,1.54,1.20,0.76,,
March,0.53,2.44,1.50,4.26,2.40,1.92,1.48,2.04,2.82,2.30,,
April,1.64,1.38,2.08,1.28,1.40,0.66,0.94,2.14,1.44,3.50,,
May,1.85,1.98,2.44,2.42,2.30,0.56,3.04,2.90,1.40,1.10,,
June,3.86,1.56,2.10,1.46,1.78,1.28,1.44,3.04,1.44,1.26,,
July,3.15,1.06,2.38,3.18,2.96,0.92,1.54,1.20,2.28,2.52,,
August,6.66,2.64,2.90,4.28,3.24,7.04,3.34,2.28,1.80,1.04,,
September,1.44,2.54,2.58,3.24,2.62,0.68,0.68,0.94,3.72,1.48,,
October,2.67,2.94,2.02,3.54,1.02,0.64,4.10,3.88,1.42,4.40,,
November,4.44,3.16,2.24,2.06,1.52,2.36,1.60,2.18,1.82,0.88,,
December,2.29,2.26,1.98,3.18,1.36,1.84,1.70,2.24,1.96,2.73,,
Total,33.00,25.92,26.40,35.20,26.02,19.58,24.20,25.22,23.36,23.45,,
Calc annual,33.00,25.92,26.40,35.20,26.02,19.58,24.20,25.22,23.36,23.45,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
