"COCK BRIDGE ALLARGUE HOUSE NO 16",,,,,,,,,,,,
Grid ref,NJ260094,Long,-3.225356,Lat,57.169451,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.10,,,,,,,,,
February,,,0.50,,,,,,,,,
March,,,2.25,,,,,,,,,
April,,,2.40,,,,,,,,,
May,,,6.02,,,,,,,,,
June,,,4.01,,,,,,,,,
July,,,3.38,,,,,,,,,
August,,,2.36,,,,,,,,,
September,,,2.07,,,,,,,,,
October,,,2.27,,,,,,,,,
November,,,4.40,,,,,,,,,
December,,,4.85,,,,,,,,,
Total,,,36.61,,,,,,,,,
Calc annual,0.00,0.00,36.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
