"FETHARD-ON-SEA RECTORY",,,,,,,,,,,,
Grid ref,IS7919104769,Long,-6.842615,Lat,52.189363,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,-999.00,,
February,,,,,,,,,,0.66,,
March,,,,,,,,,,2.92,,
April,,,,,,,,,,4.09,,
May,,,,,,,,,,1.66,,
June,,,,,,,,,,2.40,,
July,,,,,,,,,,3.72,,
August,,,,,,,,,3.79,1.47,,
September,,,,,,,,,4.45,-999.00,,
October,,,,,,,,,2.42,5.95,,
November,,,,,,,,,1.87,0.86,,
December,,,,,,,,,4.76,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.29,23.73,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
