"SOUTHWOLD",,,,,,,,,,,,
Grid ref,TM507763,Long,1.677838,Lat,52.327471,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.71,0.39,0.87,1.82,1.90,1.11,4.50,,0.71,,,
February,3.15,1.24,0.59,0.41,2.39,0.96,2.24,,2.02,,,
March,0.79,1.92,1.01,1.58,1.61,1.90,1.89,1.21,2.30,,,
April,0.91,2.01,1.70,2.15,0.83,2.11,0.75,2.63,2.76,,,
May,1.14,1.28,3.30,1.97,2.33,1.25,1.61,2.71,0.89,,,
June,2.45,1.73,1.78,2.60,-999.00,3.33,2.07,,0.69,,,
July,1.18,0.97,1.49,3.13,2.02,0.21,0.18,,2.64,,,
August,3.12,1.32,3.38,3.64,2.07,3.50,0.61,,1.75,,,
September,0.84,0.84,1.26,2.48,1.93,1.93,2.40,,0.99,,,
October,2.31,2.07,1.20,4.17,1.11,3.67,2.60,,,,,
November,1.86,1.81,1.44,1.98,1.66,2.25,3.75,,,,,
December,2.50,3.99,1.38,1.29,2.33,1.28,2.60,,,,,
Total,22.96,19.57,19.40,27.22,20.91,23.50,25.20,,,,,
Calc annual,22.96,19.57,19.40,27.22,20.18,23.50,25.20,6.55,14.75,0.00,,
Difference,0.00,0.00,-0.00,-0.00,0.73,0.00,-0.00,NaN,NaN,NaN,,
