"SALISBURY LONDON ROAD",,,,,,,,,,,,
Grid ref,SU151311,Long,-1.785824,Lat,51.079026,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.71,5.72,,,,,
February,,,,,,0.63,2.87,,,,,
March,,,,,,5.13,1.07,,,,,
April,,,,,,1.95,0.91,,,,,
May,,,,,,0.66,2.28,,,,,
June,,,,,,4.80,2.17,,,,,
July,,,,,,0.38,0.55,,,,,
August,,,,,,3.25,0.70,,,,,
September,,,,,,1.23,0.91,,,,,
October,,,,,,1.42,6.04,,,,,
November,,,,,,3.52,4.03,,,,,
December,,,,,,0.73,1.79,,,,,
Total,,,,,,24.41,29.04,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,24.41,29.04,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,NaN,,
