"MORLAND [PENRITH]",,,,,,,,,,,,
Grid ref,NY598225,Long,-2.623700,Lat,54.596072,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.17,6.09,5.56,1.41,5.60,1.23,2.70,4.68,,
February,,,1.27,5.78,3.30,2.82,3.33,3.11,3.83,1.97,,
March,,,2.07,7.99,2.05,3.53,2.15,2.89,4.12,2.45,,
April,,,1.93,1.26,2.56,3.06,0.94,2.02,2.00,2.72,,
May,,,2.61,2.63,2.97,0.62,6.19,4.55,2.35,1.94,,
June,,,1.38,0.95,1.78,1.80,0.72,4.40,1.50,2.18,,
July,,,3.51,3.23,1.52,1.35,1.21,1.72,2.85,3.97,,
August,,,1.95,4.02,4.33,3.38,4.42,2.65,4.23,3.22,,
September,,,1.80,4.62,1.12,2.97,1.08,0.38,2.61,2.16,,
October,,,2.98,8.96,1.25,2.41,5.89,4.54,2.25,5.58,,
November,,,2.59,2.39,2.96,3.97,3.41,3.34,2.83,1.52,,
December,,,5.25,3.24,4.05,1.19,3.00,6.07,2.79,5.37,,
Total,,,29.51,51.16,33.45,28.51,37.94,36.90,34.06,37.76,,
Calc annual,0.00,0.00,29.51,51.16,33.45,28.51,37.94,36.90,34.06,37.76,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
