"DARLINGTON RABY CASTLE",,,,,,,,,,,,
Grid ref,NZ128221,Long,-1.803418,Lat,54.593926,,,,,,,
Station no,3517,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,0.86,2.83,1.68,,3.45,1.10,1.71,1.53,,
February,,,2.03,1.94,2.70,,1.54,1.62,2.33,1.43,,
March,,,1.21,2.65,2.25,,1.93,1.17,4.75,4.61,,
April,,,1.58,1.29,1.53,,0.78,2.06,3.08,2.89,,
May,,,2.74,3.87,2.98,,3.66,3.20,3.22,1.75,,
June,,,1.42,2.33,2.31,,0.77,4.24,1.07,1.86,,
July,,,3.99,3.81,1.95,,0.56,2.66,2.43,3.21,,
August,,,2.21,2.25,2.95,,3.14,1.50,1.64,2.73,,
September,,,0.77,2.75,1.60,,0.72,0.41,3.34,2.54,,
October,,,2.77,8.44,1.17,,3.86,5.37,2.62,2.38,,
November,,6.23,2.15,1.76,2.25,,3.43,2.82,1.26,0.58,,
December,,,2.32,1.95,1.89,,2.82,3.54,0.88,4.42,,
Total,,,24.05,35.87,25.26,,26.66,29.69,28.33,29.93,,
Calc annual,0.00,6.23,24.05,35.87,25.26,0.00,26.66,29.69,28.33,29.93,,
Difference,NaN,NaN,0.00,-0.00,-0.00,NaN,0.00,0.00,-0.00,0.00,,
