"BLACKBURN WATER WORKS OFFICE",,,,,,,,,,,,
Grid ref,SD681282,Long,-2.485218,Lat,53.749186,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.06,3.33,2.84,2.75,1.27,3.40,0.70,2.57,1.81,,
February,,1.38,1.34,2.34,2.96,1.40,2.30,1.27,2.04,1.29,,
March,,2.26,2.54,4.00,1.93,1.90,2.46,2.90,2.62,1.69,,
April,,1.77,2.08,1.86,2.11,2.39,1.88,1.49,1.60,3.29,,
May,,0.48,2.81,2.65,2.06,0.34,3.05,2.84,2.70,2.02,,
June,,1.53,1.10,1.20,1.50,2.36,1.10,5.89,1.34,2.32,,
July,,1.69,2.89,3.08,1.42,2.36,1.97,2.55,2.86,5.16,,
August,,1.63,2.47,4.13,3.51,2.72,3.12,3.94,3.10,2.26,,
September,,0.85,1.51,4.27,1.15,2.27,0.89,0.87,3.68,1.83,,
October,,2.99,3.51,7.75,1.38,3.11,5.01,2.55,1.04,3.87,,
November,,5.14,1.68,2.66,2.21,3.90,3.19,1.75,3.12,1.07,,
December,,3.58,2.92,2.04,2.24,0.44,3.03,3.24,1.65,4.22,,
Total,,25.36,28.18,38.82,25.22,24.46,31.40,29.99,28.32,30.83,,
Calc annual,0.00,25.36,28.18,38.82,25.22,24.46,31.40,29.99,28.32,30.83,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
