"SANTON DOWNHAM (NR BRANDON)",,,,,,,,,,,,
Grid ref,TL817877,Long,0.672797,Lat,52.457020,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.13,0.56,1.17,1.62,1.85,1.25,3.72,1.18,1.15,0.95,,
February,3.00,0.86,1.20,0.40,3.18,1.16,2.56,1.57,1.86,0.29,,
March,0.94,1.64,1.20,1.77,1.64,2.32,2.11,1.31,1.89,2.69,,
April,1.09,2.71,0.98,1.83,0.89,1.91,0.85,2.98,2.89,1.25,,
May,1.02,1.16,3.79,1.92,2.24,1.07,0.91,2.71,1.24,1.10,,
June,2.40,1.04,2.83,2.93,0.86,2.70,2.84,2.22,1.11,3.34,,
July,2.64,1.34,2.34,4.72,2.33,0.54,0.54,1.86,3.33,3.41,,
August,2.25,1.26,3.22,2.70,2.93,2.80,0.91,1.72,2.53,2.18,,
September,0.45,1.17,0.72,3.67,1.84,3.05,0.88,0.49,1.86,1.49,,
October,1.98,1.72,1.38,5.70,1.36,2.42,3.64,2.72,1.19,3.84,,
November,2.11,1.71,1.49,2.41,1.21,1.93,2.95,2.65,1.13,0.86,,
December,2.25,3.21,1.31,1.15,1.81,0.89,2.73,1.90,1.65,4.43,,
Total,23.26,18.38,21.63,30.82,22.14,22.04,24.64,23.31,21.83,25.83,,
Calc annual,23.26,18.38,21.63,30.82,22.14,22.04,24.64,23.31,21.83,25.83,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
