"TOWCESTER PAULERSPURY PLUM PARK",,,,,,,,,,,,
Grid ref,SP728455,Long,-0.938545,Lat,52.103053,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.02,0.82,3.98,,,,,
February,,,,,4.10,0.80,2.25,,,,,
March,,,,,1.48,2.93,1.59,,,,,
April,,,,,1.03,2.36,0.75,,,,,
May,,,,,2.64,0.75,1.62,,,,,
June,,,,,0.60,3.39,3.53,,,,,
July,,,,,2.97,0.50,1.06,,,,,
August,,,,,2.15,3.51,1.33,,,,,
September,,,,,2.57,1.57,1.18,,,,,
October,,,,,0.77,1.43,4.22,,,,,
November,,,,,1.50,3.06,3.05,,,,,
December,,,,,1.63,0.95,2.00,,,,,
Total,,,,,24.46,22.07,26.56,,,,,
Calc annual,0.00,0.00,0.00,0.00,24.46,22.07,26.56,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,NaN,,
