"PLYMPTON HEMERDON GARDEN",,,,,,,,,,,,
Grid ref,SX573575,Long,-4.009232,Lat,50.400008,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.30,3.87,,,,,,,,,,
February,7.54,1.45,,,,,,,,,,
March,2.51,3.65,,,,,,,,,,
April,2.30,4.57,,,,,,,,,,
May,2.20,2.33,,,,,,,,,,
June,4.34,2.40,,,,,,,,,,
July,1.22,1.82,,,,,,,,,,
August,3.62,3.07,,,,,,,,,,
September,1.67,4.88,,,,,,,,,,
October,2.96,2.53,,,,,,,,,,
November,4.87,0.62,,,,,,,,,,
December,6.80,8.02,,,,,,,,,,
Total,47.33,39.21,,,,,,,,,,
Calc annual,47.33,39.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
