"GRANTOWN SCHOOL",,,,,,,,,,,,
Grid ref,NJ035278,Long,-3.604452,Lat,57.330487,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,2.63,2.27,5.04,,
February,,,,,,,,1.90,3.79,1.49,,
March,,,,,,,,1.75,6.31,7.47,,
April,,,,,,,,2.28,3.20,,,
May,,,,,,,,2.53,1.25,,,
June,,,,,,,,5.07,1.76,,,
July,,,,,,,,2.72,2.32,,,
August,,,,,,,,3.05,2.08,,,
September,,,,,,,,1.83,5.28,,,
October,,,,,,,,4.82,1.59,,,
November,,,,,,,,1.65,2.70,,,
December,,,,,,,,1.31,1.26,,,
Total,,,,,,,,31.54,33.81,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.54,33.81,14.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,,
