"SULE SKERRY",,,,,,,,,,,,
Grid ref,HX622244,Long,-4.406385,Lat,59.084156,,,,,,,
Station no,RR9,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.00,3.50,4.00,0.47,3.20,2.35,1.67,3.07,1.85,3.78,,
February,1.70,3.20,2.40,0.86,1.30,4.30,2.17,1.59,2.27,0.95,,
March,3.50,2.70,7.30,2.50,1.74,3.40,1.89,1.75,2.05,1.95,,
April,2.00,3.50,2.00,2.20,4.00,2.93,1.89,2.60,0.82,1.75,,
May,2.80,1.30,2.70,1.05,1.85,0.97,1.62,0.88,2.31,1.80,,
June,0.80,3.50,1.60,1.08,1.55,0.92,0.69,2.33,2.16,1.67,,
July,3.60,2.15,1.70,2.83,0.05,2.15,1.21,0.85,1.59,2.12,,
August,3.00,3.90,1.20,2.75,2.25,4.64,2.69,3.62,2.00,3.54,,
September,5.40,2.30,2.90,1.80,1.60,2.07,0.91,1.43,3.93,2.44,,
October,7.20,3.90,1.00,5.20,1.92,4.03,2.32,0.73,1.28,5.86,,
November,4.20,3.10,1.00,3.30,3.80,2.60,4.13,1.55,6.21,5.33,,
December,5.70,5.40,0.88,1.65,2.42,2.59,3.67,1.17,3.91,3.23,,
Total,46.90,38.45,28.68,25.69,25.68,32.95,24.86,21.57,30.38,34.42,,
Calc annual,46.90,38.45,28.68,25.69,25.68,32.95,24.86,21.57,30.38,34.42,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
