"CONGLETON BUGLAWTON VICARAGE",,,,,,,,,,,,
Grid ref,SJ868635,Long,-2.198910,Lat,53.168449,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.14,1.99,1.63,3.58,2.47,1.51,4.09,1.30,1.83,1.84,,
February,3.22,1.40,1.12,1.84,2.60,1.75,3.33,1.85,2.65,0.96,,
March,0.93,1.99,2.42,3.27,1.24,3.14,2.79,2.47,3.00,3.25,,
April,1.88,2.87,2.16,1.89,1.59,2.15,2.34,2.11,2.20,1.94,,
May,1.38,1.73,4.61,2.16,2.01,0.54,3.39,3.62,2.47,1.42,,
June,4.76,1.69,1.33,1.05,0.86,1.83,2.10,4.79,2.01,3.25,,
July,2.20,3.28,1.97,2.79,1.61,3.72,1.12,3.00,2.74,5.04,,
August,5.58,2.50,3.01,3.89,3.77,3.43,2.14,4.45,2.89,3.40,,
September,1.05,0.92,2.23,4.41,1.64,1.82,1.97,0.48,2.35,3.06,,
October,4.15,2.99,3.17,6.51,1.05,3.02,5.16,3.11,0.70,5.18,,
November,2.07,2.21,1.59,3.47,2.05,3.02,1.94,1.89,-999.00,1.11,,
December,3.28,5.01,2.40,1.33,1.85,0.37,3.35,1.71,2.69,5.29,,
Total,34.64,28.58,27.64,36.29,22.74,26.30,33.72,30.78,27.91,35.74,,
Calc annual,34.64,28.58,27.64,36.19,22.74,26.30,33.72,30.78,25.53,35.74,,
Difference,0.00,0.00,0.00,0.10,-0.00,0.00,-0.00,0.00,2.38,0.00,,
