"GARLET HILL EDINBURGH WW NO 10",,,,,,,,,,,,
Grid ref,NT124202,Long,-3.387150,Lat,55.467761,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.86,6.92,,
February,,,,,,,,,2.00,2.43,,
March,,,,,,,,,3.15,6.97,,
April,,,,,,,,,1.48,4.58,,
May,,,,,,,,,2.95,2.75,,
June,,,,,,,,,3.19,2.62,,
July,,,,,,,,,3.20,5.95,,
August,,,,,,,,,4.88,3.09,,
September,,,,,,,,,5.96,2.92,,
October,,,,,,,,,2.18,11.45,,
November,,,,,,,,,3.19,2.28,,
December,,,,,,,,,2.43,5.55,,
Total,,,,,,,,,37.47,57.51,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.47,57.51,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
