"NORTHAM CLONMORE",,,,,,,,,,,,
Grid ref,SS447288,Long,-4.216422,Lat,51.037515,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.49,,,
February,,,,,,,,,1.69,,,
March,,,,,,,,,3.01,,,
April,,,,,,,,,1.56,,,
May,,,,,,,,,1.41,,,
June,,,,,,,,,1.22,,,
July,,,,,,,,,1.98,,,
August,,,,,,,,,2.67,,,
September,,,,,,,,,1.54,,,
October,,,,,,,,,1.06,,,
November,,,,,,,,,1.66,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.29,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
