"RESCOBIE PITSCANDLY",,,,,,,,,,,,
Grid ref,NO485525,Long,-2.841750,Lat,56.661436,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.91,1.43,0.90,3.35,1.45,0.76,2.50,1.67,1.93,1.68,,
February,3.90,1.30,1.01,3.28,4.30,0.82,0.85,1.59,0.59,0.49,,
March,1.61,1.67,0.94,3.54,2.04,3.66,0.84,1.26,3.54,4.18,,
April,1.52,2.66,3.02,1.67,2.27,1.97,0.88,2.62,0.44,3.23,,
May,1.80,2.02,1.46,1.54,1.70,2.03,5.05,3.87,1.66,2.80,,
June,2.07,1.44,1.60,1.19,0.73,1.06,0.74,4.52,1.31,1.18,,
July,2.95,2.08,2.46,3.06,0.90,1.81,0.90,2.51,1.66,1.94,,
August,3.40,4.50,2.70,4.58,5.10,3.60,4.16,3.12,0.25,0.82,,
September,1.61,1.85,1.37,3.16,2.00,1.18,0.70,0.98,3.65,0.80,,
October,3.14,1.88,1.11,6.10,0.84,1.32,3.34,4.24,3.26,3.08,,
November,3.38,1.32,4.97,0.83,0.24,7.17,3.30,2.41,1.75,0.22,,
December,3.75,2.90,3.92,3.38,1.80,1.25,1.80,3.92,1.40,3.31,,
Total,33.04,25.05,25.46,35.68,23.37,26.63,25.06,32.71,21.44,23.73,,
Calc annual,33.04,25.05,25.46,35.68,23.37,26.63,25.06,32.71,21.44,23.73,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
