"FETLAR  THE MANSE",,,,,,,,,,,,
Grid ref,HU608906,Long,-0.891823,Lat,60.594230,,,,,,,
Station no,RR5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.56,3.17,3.95,4.74,4.26,4.72,4.15,4.22,4.18,3.18,,
February,2.72,1.87,2.66,3.88,3.18,3.58,4.85,2.81,2.88,1.24,,
March,1.31,3.26,4.95,5.23,2.09,2.82,2.85,3.30,3.11,3.78,,
April,3.05,2.60,3.08,2.70,4.09,2.95,1.78,2.48,1.88,2.10,,
May,2.28,0.43,2.69,1.07,2.31,2.18,3.44,1.75,1.87,2.02,,
June,1.22,2.33,2.37,2.32,1.72,1.40,1.11,3.25,2.49,1.74,,
July,2.73,0.79,2.02,2.13,1.17,2.67,3.71,0.87,1.92,3.52,,
August,1.91,4.86,2.05,3.38,3.32,3.43,2.98,3.85,2.26,2.42,,
September,3.59,3.27,1.96,3.22,2.49,1.82,2.56,3.08,3.35,1.50,,
October,4.34,4.17,2.53,6.42,4.91,3.33,3.50,3.95,1.31,4.58,,
November,4.86,2.09,1.97,3.40,3.68,3.93,3.10,5.93,4.61,3.67,,
December,6.33,4.59,4.24,2.65,3.97,2.94,4.76,3.72,4.59,4.79,,
Total,40.90,33.43,34.47,41.14,37.19,35.77,38.79,39.21,34.45,34.54,,
Calc annual,40.90,33.43,34.47,41.14,37.19,35.77,38.79,39.21,34.45,34.54,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
