"ST. ANDREWS, GREENSIDE PLACE",,,,,,,,,,,,
Grid ref,NO511164,Long,-2.792545,Lat,56.337426,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.15,,
February,,,,,,,,,,0.86,,
March,,,,,,,,,,3.45,,
April,,,,,,,,,,3.68,,
May,,,,,,,,,,2.73,,
June,,,,,,,,,,0.93,,
July,,,,,,,,,,4.17,,
August,,,,,,,,,,3.11,,
September,,,,,,,,,,1.76,,
October,,,,,,,,,,3.93,,
November,,,,,,,,,,0.46,,
December,,,,,,,,,,3.54,,
Total,,,,,,,,,,30.77,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.77,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
