"NOTTINGHAM MAPPERLEY HILL CITY ASYLUM",,,,,,,,,,,,
Grid ref,SK588427,Long,-1.125732,Lat,52.978431,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.71,1.27,1.09,1.81,2.34,0.77,2.92,0.96,1.22,0.95,,
February,3.85,1.45,2.15,0.82,2.60,0.63,2.19,1.33,1.64,0.69,,
March,0.85,2.01,1.42,2.94,1.48,2.30,1.58,1.37,3.00,3.34,,
April,0.95,1.23,1.93,1.60,1.17,1.54,0.36,2.23,2.36,1.28,,
May,1.63,0.94,2.20,3.42,1.42,0.46,1.70,3.03,2.10,1.42,,
June,4.59,1.89,1.41,1.72,0.23,3.02,1.87,2.58,2.13,2.39,,
July,2.39,3.00,1.11,1.86,2.57,1.93,0.52,2.34,2.70,3.56,,
August,3.63,1.19,4.23,5.75,2.44,3.58,1.23,2.28,3.51,3.21,,
September,0.74,1.10,1.09,2.97,2.06,1.75,1.07,0.91,1.48,2.68,,
October,1.82,1.83,2.27,6.62,0.34,1.34,5.14,4.00,1.54,3.05,,
November,2.50,1.95,1.52,1.84,1.02,2.81,2.89,2.09,1.20,0.43,,
December,4.01,5.16,1.41,0.72,1.62,0.48,2.78,2.59,1.43,4.41,,
Total,30.67,23.02,21.83,32.07,19.29,20.61,24.25,25.71,24.31,27.41,,
Calc annual,30.67,23.02,21.83,32.07,19.29,20.61,24.25,25.71,24.31,27.41,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
