"BURNHOPE BRIDGE",,,,,,,,,,,,
Grid ref,NY846389,Long,-2.240742,Lat,54.744822,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,4.07,,,,,,,,,,
February,,1.68,,,,,,,,,,
March,,3.85,,,,,,,,,,
April,,2.47,,,,,,,,,,
May,,1.31,,,,,,,,,,
June,,2.87,,,,,,,,,,
July,,2.39,,,,,,,,,,
August,,2.78,,,,,,,,,,
September,,2.09,,,,,,,,,,
October,,3.45,,,,,,,,,,
November,5.65,7.68,,,,,,,,,,
December,7.97,5.44,,,,,,,,,,
Total,,40.08,39.24,78.26,44.28,,50.91,-999.00,,54.83,,
Calc annual,13.62,40.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,39.24,78.26,44.28,NaN,50.91,-999.00,NaN,54.83,,
