"KILLESHANDRA CASTLE HAMILTON",,,,,,,,,,,,
Grid ref,IH3170007300,Long,-7.517125,Lat,54.014109,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.48,3.87,2.71,5.18,3.16,2.81,4.47,0.99,2.57,3.06,,
February,2.06,0.95,1.13,4.90,3.55,2.15,2.58,2.31,1.94,0.57,,
March,0.56,2.58,1.82,7.47,2.88,3.97,2.79,3.29,3.39,2.63,,
April,1.75,3.21,2.84,1.60,1.34,0.98,1.67,3.08,1.46,4.12,,
May,3.00,2.03,2.99,2.99,2.20,1.00,3.12,2.90,2.49,0.55,,
June,2.61,2.71,2.00,1.02,1.28,1.21,1.09,5.48,1.60,0.70,,
July,1.45,0.79,2.57,4.46,4.83,2.03,2.25,1.31,0.90,1.55,,
August,3.83,4.23,1.94,3.80,4.82,4.71,2.36,2.90,2.10,1.26,,
September,2.01,3.51,2.20,4.33,2.91,1.23,1.38,1.53,5.14,1.93,,
October,3.15,3.35,0.64,4.96,2.57,2.17,5.83,3.71,0.66,5.06,,
November,4.27,4.80,3.62,1.50,1.99,2.72,1.64,2.24,2.96,1.72,,
December,3.48,2.83,2.43,2.58,2.35,2.48,2.61,3.01,3.37,3.67,,
Total,31.65,34.86,26.89,44.79,33.88,27.46,31.79,32.75,28.58,26.82,,
Calc annual,31.65,34.86,26.89,44.79,33.88,27.46,31.79,32.75,28.58,26.82,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
