"LAMINGTON COWGILL RESERVOIR",,,,,,,,,,,,
Grid ref,NT007292,Long,-3.575365,Lat,55.546362,,,,,,,
Station no,5165,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.68,2.87,5.17,2.59,4.52,5.70,,
February,,,,,2.76,2.34,3.17,2.79,3.81,2.63,,
March,,,,,2.94,6.06,2.89,3.81,6.22,4.48,,
April,,,,,4.73,2.94,2.06,3.03,1.55,2.91,,
May,,,,,2.88,1.89,5.78,4.23,2.57,2.24,,
June,,,,,2.51,1.20,2.00,3.85,2.41,2.38,,
July,,,,,3.26,2.79,2.76,3.02,2.31,5.57,,
August,,,,,4.58,3.94,7.10,5.35,4.42,3.12,,
September,,,,,2.50,2.21,1.01,0.97,5.00,2.86,,
October,,,,,1.96,3.66,7.07,10.00,0.85,7.74,,
November,,,,,2.69,4.54,5.49,3.13,3.50,2.55,,
December,,,,,3.75,3.05,3.39,4.69,1.79,4.07,,
Total,,,,,38.24,37.49,47.89,47.46,38.95,46.25,,
Calc annual,0.00,0.00,0.00,0.00,38.24,37.49,47.89,47.46,38.95,46.25,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,,
