"BALLINGARRY, GURTEEN",,,,,,,,,,,,
Grid ref,IR9930498889,Long,-8.011111,Lat,53.040917,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,2.21,4.07,1.19,3.10,3.02,,
February,,,,,,1.75,2.54,1.79,2.37,1.10,,
March,,,,,,4.39,2.46,2.38,3.42,2.36,,
April,,,,,,1.86,2.02,2.01,2.08,4.29,,
May,,,,,,0.84,3.59,2.58,3.28,2.91,,
June,,,,,,1.35,2.12,3.19,1.20,1.92,,
July,,,,,,1.54,3.30,3.27,2.51,,,
August,,,,,,5.73,2.69,3.40,3.95,,,
September,,,,,,1.83,1.47,1.26,5.50,,,
October,,,,,,1.49,4.88,4.87,1.47,,,
November,,,,,,2.46,1.88,3.16,3.01,,,
December,,,,,,2.00,2.38,3.65,3.69,,,
Total,,,,,,27.45,33.40,32.75,35.58,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,27.45,33.40,32.75,35.58,15.60,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,,
