"HONINGHAM HALL",,,,,,,,,,,,
Grid ref,TG221235,Long,1.290456,Lat,52.763411,,,,,,,
Station no,RR119,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.87,0.64,1.00,1.62,1.31,1.00,3.68,1.74,0.70,0.73,,
February,2.78,1.32,0.74,0.55,2.61,1.30,2.39,1.48,1.75,0.48,,
March,1.04,2.22,1.23,1.72,1.54,1.88,1.73,1.15,2.13,2.63,,
April,1.29,2.07,1.25,2.58,0.72,2.03,0.65,3.41,2.68,1.13,,
May,1.44,1.24,3.46,1.41,1.53,1.42,1.95,2.66,1.22,1.02,,
June,3.12,1.47,2.63,2.69,0.74,2.80,2.15,1.84,,3.41,,
July,2.14,1.73,1.54,5.46,1.89,0.86,0.45,1.20,,3.65,,
August,4.23,0.85,2.45,3.24,2.04,3.01,2.03,1.57,,2.11,,
September,0.65,1.06,0.92,2.92,2.07,2.53,1.06,0.62,2.24,1.79,,
October,2.30,2.09,1.79,5.00,1.21,3.29,3.31,2.88,1.23,4.07,,
November,2.26,2.40,1.26,1.58,1.08,1.88,4.01,2.53,1.17,1.16,,
December,2.88,3.49,1.45,1.06,1.71,1.00,1.81,2.48,1.42,4.00,,
Total,27.00,20.58,19.72,29.83,18.45,23.00,25.22,23.56,,26.18,,
Calc annual,27.00,20.58,19.72,29.83,18.45,23.00,25.22,23.56,14.54,26.18,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,NaN,0.00,,
